Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Submitted By,timestamp,Total
2021-05-17,Monday,7:30 AM,1,0,0,0,0,Library Counts User,05-17-2021 7:34:21,1
2021-05-17,Monday,8:30 AM,2,0,0,0,0,Library Counts User,05-17-2021 8:31:51,2
2021-05-17,Monday,9:30 AM,3,0,0,0,0,Library Counts User,05-17-2021 9:31:08,3
2021-05-17,Monday,10:30 AM,2,0,0,0,0,Library Counts User,05-17-2021 10:32:13,2
2021-05-17,Monday,10:30 AM,2,0,0,0,0,Library Counts User,05-17-2021 10:32:28,2
2021-05-17,Monday,11:30 AM,1,0,1,0,1,Library Counts User,05-17-2021 11:31:01,3
2021-05-17,Monday,12:30 PM,2,0,1,0,1,Library Counts User,05-17-2021 12:32:28,4
2021-05-17,Monday,1:30 PM,4,0,0,0,1,Library Counts User,05-17-2021 1:50:16,5
2021-05-17,Monday,2:30 PM,0,0,0,0,0,Library Counts User,05-17-2021 2:37:13,0
2021-05-17,Monday,3:30 PM,0,0,0,0,1,Library Counts User,05-17-2021 3:30:53,1
2021-05-17,Monday,4:30 PM,1,0,0,0,1,Library Counts User,05-17-2021 4:33:10,2
2021-05-17,Monday,5:30 PM,0,0,0,0,0,Library Counts User,05-17-2021 5:30:49,0
2021-05-18,Tuesday,9:30 AM,3,0,0,0,0,Library Counts User,05-18-2021 9:35:53,3
2021-05-18,Tuesday,10:30 AM,0,0,0,0,0,Library Counts User,05-18-2021 10:29:27,0
2021-05-18,Tuesday,11:30 AM,0,0,0,0,0,Library Counts User,05-18-2021 11:36:26,0
2021-05-18,Tuesday,1:30 PM,1,0,0,0,0,Library Counts User,05-18-2021 1:30:27,1
2021-05-18,Tuesday,2:30 PM,0,0,0,0,0,Library Counts User,05-18-2021 2:44:16,0
2021-05-18,Tuesday,3:30 PM,1,0,0,0,0,Library Counts User,05-18-2021 3:33:10,1
2021-05-18,Tuesday,4:30 PM,0,0,1,0,0,Library Counts User,05-18-2021 4:29:17,1
2021-05-19,Wednesday,7:30 AM,1,0,2,0,0,Library Counts User,05-19-2021 8:42:05,3
2021-05-19,Wednesday,9:30 AM,1,0,2,1,0,Library Counts User,05-19-2021 9:27:35,4
2021-05-19,Wednesday,10:30 AM,2,0,3,1,0,Library Counts User,05-19-2021 10:30:05,6
2021-05-19,Wednesday,11:30 AM,3,0,2,0,3,Library Counts User,05-19-2021 11:29:50,8
2021-05-19,Wednesday,12:30 PM,3,0,3,0,2,Library Counts User,05-19-2021 12:30:23,8
2021-05-19,Wednesday,1:30 PM,2,1,1,0,0,Library Counts User,05-19-2021 1:26:32,4
2021-05-19,Wednesday,2:30 PM,0,0,0,0,0,Library Counts User,05-19-2021 2:31:36,0
2021-05-19,Wednesday,3:30 PM,2,0,1,0,0,Library Counts User,05-19-2021 3:28:53,3
2021-05-19,Wednesday,4:30 PM,1,0,0,1,0,Library Counts User,05-19-2021 4:32:08,2
2021-05-20,Thursday,7:30 AM,1,0,0,0,0,Library Counts User,05-20-2021 7:32:34,1
2021-05-20,Thursday,8:30 AM,1,0,0,0,1,Library Counts User,05-20-2021 8:30:20,2
2021-05-20,Thursday,9:30 AM,1,0,1,0,1,Library Counts User,05-20-2021 9:30:29,3
2021-05-20,Thursday,10:30 AM,0,0,0,0,1,Library Counts User,05-20-2021 10:29:42,1
2021-05-20,Thursday,11:30 AM,0,0,0,0,0,Library Counts User,05-20-2021 11:37:39,0
2021-05-20,Thursday,12:30 PM,0,0,0,0,0,Library Counts User,05-20-2021 12:37:14,0
2021-05-20,Thursday,1:30 PM,0,0,0,0,1,Library Counts User,05-20-2021 1:30:19,1
2021-05-20,Thursday,2:30 PM,1,0,0,0,0,Library Counts User,05-20-2021 2:29:21,1
2021-05-20,Thursday,3:30 PM,1,0,0,0,0,Library Counts User,05-20-2021 3:30:11,1
2021-05-20,Thursday,4:30 PM,0,0,0,0,0,Library Counts User,05-20-2021 4:37:46,0
2021-05-20,Thursday,5:30 PM,0,0,0,0,0,Library Counts User,05-20-2021 5:31:41,0
2021-05-21,Friday,7:30 AM,1,0,0,0,0,Library Counts User,05-21-2021 7:31:14,1
2021-05-21,Friday,8:30 AM,1,0,0,0,0,Library Counts User,05-21-2021 8:40:26,1
2021-05-21,Friday,9:30 AM,1,0,0,0,0,Library Counts User,05-21-2021 9:27:32,1
2021-05-21,Friday,10:30 AM,2,0,0,0,0,Library Counts User,05-21-2021 10:31:59,2
2021-05-21,Friday,11:30 AM,2,0,0,0,1,Library Counts User,05-21-2021 11:30:29,3
2021-05-21,Friday,12:30 PM,2,0,0,0,2,Library Counts User,05-21-2021 12:29:45,4
2021-05-21,Friday,1:30 PM,3,0,0,0,2,Library Counts User,05-21-2021 1:32:10,5
