Date,DayOfWeek,Time,Computers,Tables,StudySpaces,QuietArea,Alcove,Total,timestamp
2019-08-19,Monday,8:30 AM,4,0,0,2,3,9,8/19/2019
2019-08-19,Monday,9:30 AM,13,8,1,6,2,30,8/19/2019
2019-08-19,Monday,10:30 AM,30,12,1,12,10,65,8/19/2019
2019-08-19,Monday,11:30 AM,10,6,7,6,3,32,8/19/2019
2019-08-19,Monday,12:30 PM,26,16,1,8,3,54,8/19/2019
2019-08-19,Monday,1:30 PM,9,6,0,6,2,23,8/19/2019
2019-08-19,Monday,2:30 PM,25,10,6,8,0,49,8/19/2019
2019-08-19,Monday,3:30 PM,24,4,3,4,2,37,8/19/2019
2019-08-19,Monday,4:30 PM,21,3,3,8,3,38,8/19/2019
2019-08-19,Monday,5:30 PM,13,5,4,3,4,29,8/19/2019
2019-08-19,Monday,6:30 PM,13,1,4,6,2,26,8/19/2019
2019-08-20,Tuesday,1:30 PM,17,6,9,8,2,42,8/20/2019
2019-08-20,Tuesday,2:30 PM,18,7,3,6,7,41,8/20/2019
2019-08-20,Tuesday,3:30 PM,25,6,4,7,6,48,8/20/2019
2019-08-20,Tuesday,4:30 PM,13,4,4,9,5,35,8/20/2019
2019-08-20,Tuesday,5:30 PM,19,1,3,3,6,32,8/20/2019
2019-08-20,Tuesday,6:30 PM,6,1,2,1,3,13,8/20/2019
2019-08-20,Tuesday,7:30 PM,12,2,0,0,1,15,8/20/2019
2019-08-20,Tuesday,8:30 PM,8,2,0,1,0,11,8/20/2019
2019-08-21,Wednesday,8:30 AM,18,6,4,6,3,37,8/21/2019
2019-08-21,Wednesday,9:30 AM,13,5,5,7,3,33,8/21/2019
2019-08-21,Wednesday,10:30 AM,27,6,7,8,3,51,8/21/2019
2019-08-21,Wednesday,1:30 PM,22,7,2,10,4,45,8/21/2019
2019-08-21,Wednesday,2:30 PM,30,3,6,5,1,45,8/21/2019
2019-08-21,Wednesday,3:30 PM,21,9,13,10,2,55,8/21/2019
2019-08-21,Wednesday,3:30 PM,22,4,8,9,4,47,8/21/2019
2019-08-21,Wednesday,5:30 PM,13,3,1,6,5,28,8/21/2019
2019-08-21,Wednesday,6:30 PM,6,0,2,1,2,11,8/21/2019
2019-08-21,Wednesday,7:30 PM,7,2,2,2,3,16,8/21/2019
2019-08-21,Wednesday,8:30 PM,10,2,3,2,1,18,8/21/2019
2019-08-22,Thursday,8:30 AM,15,3,0,5,5,28,8/22/2019
2019-08-22,Thursday,9:30 AM,30,2,2,8,8,50,8/22/2019
2019-08-22,Thursday,10:30 AM,14,9,5,11,8,47,8/22/2019
2019-08-22,Thursday,12:30 PM,33,16,4,14,9,76,8/22/2019
2019-08-22,Thursday,1:30 PM,9,4,1,8,2,24,8/22/2019
2019-08-22,Thursday,2:30 PM,17,6,5,6,2,36,8/22/2019
2019-08-22,Thursday,3:30 PM,26,8,9,5,5,53,8/22/2019
2019-08-22,Thursday,4:30 PM,12,8,3,7,3,33,8/22/2019
2019-08-22,Thursday,5:30 PM,14,3,0,6,5,28,8/22/2019
2019-08-22,Thursday,6:30 PM,6,2,1,4,0,13,8/22/2019
2019-08-22,Thursday,7:30 PM,14,3,2,4,0,23,8/22/2019
2019-08-22,Thursday,8:30 PM,5,0,1,3,0,9,8/22/2019
2019-08-23,Friday,8:30 AM,1,1,0,1,1,4,8/23/2019
2019-08-23,Friday,9:30 AM,6,1,0,2,0,9,8/23/2019
2019-08-23,Friday,10:30 AM,8,0,0,2,3,13,8/23/2019
2019-08-23,Friday,11:30 AM,11,1,2,2,1,17,8/23/2019
2019-08-23,Friday,12:30 PM,16,3,4,3,2,28,8/23/2019
2019-08-23,Friday,1:30 PM,19,3,2,2,0,26,8/23/2019
2019-08-23,Friday,2:30 PM,11,2,2,2,1,18,8/23/2019
2019-08-23,Friday,3:30 PM,7,2,3,0,1,13,8/23/2019
2019-08-23,Friday,4:30 PM,10,1,0,2,0,13,8/23/2019
2019-08-24,Saturday,10:30 AM,3,0,0,3,0,6,8/24/2019
2019-08-24,Saturday,11:30 AM,9,1,0,4,0,14,8/24/2019
2019-08-24,Saturday,12:30 PM,11,0,23,3,1,38,8/24/2019
2019-08-24,Saturday,1:30 PM,4,0,23,0,0,27,8/24/2019
2019-08-26,Monday,10:30 AM,38,10,0,11,4,63,8/26/2019
2019-08-26,Monday,11:30 AM,13,8,13,17,8,59,8/26/2019
2019-08-26,Monday,1:30 PM,20,4,3,7,5,39,8/26/2019
2019-08-26,Monday,2:30 PM,35,5,4,8,3,55,8/26/2019
2019-08-26,Monday,3:30 PM,20,4,11,7,4,46,8/26/2019
