Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
8/19/2019,Monday,7:30 AM,6,0,0,0,0,6
8/19/2019,Monday,8:30 AM,15,1,2,0,0,18
8/19/2019,Monday,9:30 AM,18,3,4,2,4,31
8/19/2019,Monday,10:30 AM,22,3,12,2,0,39
8/19/2019,Monday,11:30 AM,18,7,14,2,0,41
8/19/2019,Monday,12:30 PM,21,9,36,8,0,74
8/19/2019,Monday,1:30 PM,26,4,14,1,0,45
8/19/2019,Monday,3:30 PM,31,7,12,1,2,53
8/19/2019,Monday,4:30 PM,9,6,6,3,2,26
8/19/2019,Monday,5:30 PM,11,3,8,1,4,27
8/19/2019,Monday,6:30 PM,5,3,3,1,1,13
8/19/2019,Monday,7:30 PM,7,1,5,2,0,15
8/19/2019,Monday,8:30 PM,4,0,0,0,1,5
8/20/2019,Tuesday,7:30 AM,0,0,0,0,0,0
8/20/2019,Tuesday,8:30 AM,8,2,3,0,0,13
8/20/2019,Tuesday,9:30 AM,14,2,7,2,0,25
8/20/2019,Tuesday,10:30 AM,16,3,24,1,0,44
8/20/2019,Tuesday,11:30 AM,23,7,19,3,2,54
8/20/2019,Tuesday,1:30 PM,26,4,14,1,0,45
8/20/2019,Tuesday,2:30 PM,17,5,9,1,4,36
8/20/2019,Tuesday,3:30 PM,25,8,14,0,3,50
8/20/2019,Tuesday,4:30 PM,9,6,6,3,2,26
8/20/2019,Tuesday,5:30 PM,10,6,13,2,0,31
8/20/2019,Tuesday,6:30 PM,8,2,12,1,0,23
8/20/2019,Tuesday,7:30 PM,6,2,5,2,0,15
8/20/2019,Tuesday,8:30 PM,3,0,4,0,0,7
8/21/2019,Wednesday,7:30 AM,5,0,1,0,0,6
8/21/2019,Wednesday,8:30 AM,5,2,1,1,0,9
8/21/2019,Wednesday,9:30 AM,17,4,8,0,2,31
8/21/2019,Wednesday,10:30 AM,25,5,16,0,3,49
8/21/2019,Wednesday,11:30 AM,22,6,18,2,0,48
