Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total,
8/31/2020,Monday,8:30 AM,1,0,0,0,0,1,
8/31/2020,Monday,9:30 AM,5,0,0,0,1,6,
8/31/2020,Monday,10:30 AM,1,0,0,0,0,1,
8/31/2020,Monday,4:30 PM,3,0,1,0,0,4,
8/31/2020,Monday,5:30 PM,3,0,0,1,1,5,
8/31/2020,Monday,6:30 PM,4,0,1,3,1,9,
8/31/2020,Monday,7:30 PM,2,0,0,0,0,2,
9/1/2020,Tuesday,8:30 AM,1,0,0,0,0,1,
9/1/2020,Tuesday,11:30 AM,3,0,0,0,0,3,
9/1/2020,Tuesday,12:30 PM,7,0,4,0,0,11,
9/1/2020,Tuesday,1:30 PM,2,0,3,0,0,5,
9/1/2020,Tuesday,2:30 PM,4,0,3,1,0,8,
9/1/2020,Tuesday,4:30 PM,9,0,2,2,1,14,
9/1/2020,Tuesday,5:30 PM,4,0,0,0,2,6,
9/1/2020,Tuesday,6:30 PM,5,0,0,1,0,6,
9/1/2020,Tuesday,7:30 PM,4,0,1,1,0,6,
9/2/2020,Wednesday,8:30 AM,0,0,0,0,0,0,
9/2/2020,Wednesday,9:30 AM,5,0,0,0,0,5,
9/2/2020,Wednesday,10:30 AM,7,0,0,0,0,7,
9/2/2020,Wednesday,4:30 PM,0,0,1,1,0,2,
9/2/2020,Wednesday,5:30 PM,5,0,0,1,0,6,
9/2/2020,Wednesday,6:30 PM,1,0,0,1,1,3,
9/2/2020,Wednesday,7:30 PM,1,0,0,1,0,2,
9/3/2020,Thursday,11:30 AM,3,0,4,0,0,7,
9/3/2020,Thursday,12:30 PM,5,0,3,0,0,8,
9/3/2020,Thursday,1:30 PM,4,0,1,0,0,5,
9/3/2020,Thursday,2:30 PM,5,0,0,0,1,6,
9/3/2020,Thursday,4:30 PM,2,0,0,0,0,2,
9/3/2020,Thursday,5:30 PM,1,0,0,1,0,2,
9/3/2020,Thursday,6:30 PM,1,0,0,2,0,3,
9/3/2020,Thursday,7:30 PM,2,0,0,2,0,4,
9/4/2020,Friday,8:30 AM,3,0,0,0,0,3,
9/4/2020,Friday,9:30 AM,1,0,1,0,0,2,
9/4/2020,Friday,10:30 AM,5,0,1,0,0,6,
9/4/2020,Friday,4:30 PM,5,0,0,1,0,6,
9/4/2020,Friday,5:30 PM,7,0,0,0,0,7,
9/4/2020,Friday,6:30 PM,1,0,1,0,0,2,
9/4/2020,Friday,7:30 PM,1,0,1,0,0,2,
9/8/2020,Tuesday,11:30 AM,8,0,1,0,0,9,
9/8/2020,Tuesday,12:30 PM,8,0,2,0,1,11,
9/8/2020,Tuesday,1:30 PM,4,0,4,0,4,12,
9/8/2020,Tuesday,2:30 PM,5,0,4,0,0,9,
9/8/2020,Tuesday,4:30 PM,3,0,3,0,0,6,
9/8/2020,Tuesday,5:30 PM,3,0,0,0,0,3,
9/8/2020,Tuesday,6:30 PM,0,0,0,1,0,1,
9/8/2020,Tuesday,7:30 PM,1,0,0,0,0,1,
9/9/2020,Wednesday,7:30 AM,0,0,0,0,0,0,
9/9/2020,Wednesday,8:30 AM,3,0,1,0,0,4,
9/9/2020,Wednesday,9:30 AM,5,0,0,0,0,5,
9/9/2020,Wednesday,10:30 AM,8,0,1,1,0,10,
9/9/2020,Wednesday,4:30 PM,2,0,0,0,0,2,
9/9/2020,Wednesday,5:30 PM,4,0,0,1,0,5,
9/9/2020,Wednesday,6:30 PM,1,0,0,1,0,2,
9/9/2020,Wednesday,7:30 PM,3,0,0,1,1,5,
9/10/2020,Thursday,7:30 AM,0,0,0,0,0,0,
9/10/2020,Thursday,11:30 AM,11,0,3,3,1,18,
9/10/2020,Thursday,12:30 PM,6,0,3,0,1,10,
9/10/2020,Thursday,1:30 PM,4,0,1,0,0,5,
9/10/2020,Thursday,2:30 PM,5,0,1,1,0,7,
9/10/2020,Thursday,4:30 PM,8,0,2,1,0,11,
9/10/2020,Thursday,5:30 PM,3,0,0,1,0,4,
9/10/2020,Thursday,6:30 PM,5,0,2,1,0,8,
9/10/2020,Thursday,7:30 PM,2,0,2,1,0,5,
9/11/2020,Friday,7:30 AM,0,0,0,0,0,0,
9/11/2020,Friday,8:30 AM,3,0,0,0,0,3,
9/11/2020,Friday,9:30 AM,3,0,0,0,0,3,
9/11/2020,Friday,10:30 AM,4,0,1,0,0,5,
9/11/2020,Friday,4:30 PM,4,0,4,0,4,12,
9/11/2020,Friday,5:30 PM,3,0,1,1,0,5,
9/11/2020,Friday,6:30 PM,1,0,0,1,0,2,
9/11/2020,Friday,7:30 PM,1,0,0,1,0,2,
9/14/2020,Monday,7:30 AM,0,0,0,0,0,0,
9/14/2020,Monday,8:30 AM,2,0,0,0,0,2,
9/14/2020,Monday,9:30 AM,1,0,0,0,0,1,
9/14/2020,Monday,10:30 AM,0,0,0,1,0,1,
9/14/2020,Monday,4:30 PM,6,0,0,2,4,12,
9/14/2020,Monday,5:30 PM,3,0,0,0,0,3,
9/14/2020,Monday,6:30 PM,4,0,0,0,0,4,
9/14/2020,Monday,7:30 PM,1,0,0,2,0,3,
9/15/2020,Tuesday,11:30 AM,7,0,2,1,0,10,
9/15/2020,Tuesday,12:30 PM,5,0,1,1,0,7,
9/15/2020,Tuesday,1:30 PM,2,0,1,1,2,6,
9/15/2020,Tuesday,2:30 PM,3,0,1,1,2,7,
9/15/2020,Tuesday,4:30 PM,4,0,1,0,0,5,
9/15/2020,Tuesday,5:30 PM,6,0,0,0,0,6,
9/15/2020,Tuesday,6:30 PM,2,0,0,1,0,3,
9/15/2020,Tuesday,7:30 PM,1,0,0,1,0,2,
9/16/2020,Wednesday,7:30 AM,2,0,0,0,0,2,
9/16/2020,Wednesday,8:30 AM,1,0,0,0,0,1,
9/16/2020,Wednesday,9:30 AM,2,0,0,0,0,2,
9/16/2020,Wednesday,10:30 AM,2,0,1,0,0,3,
9/16/2020,Wednesday,4:30 PM,4,0,0,1,1,6,
9/16/2020,Wednesday,5:30 PM,4,0,0,1,2,7,
9/16/2020,Wednesday,6:30 PM,2,0,0,3,1,6,
9/16/2020,Wednesday,7:30 PM,1,0,0,1,0,2,
9/17/2020,Thursday,11:30 AM,2,0,0,0,4,6,
9/17/2020,Thursday,12:30 PM,7,0,2,0,1,10,
9/17/2020,Thursday,1:30 PM,4,0,1,0,1,6,
9/17/2020,Thursday,2:30 PM,4,0,2,0,1,7,
9/17/2020,Thursday,4:30 PM,2,0,0,0,0,2,
9/17/2020,Thursday,5:30 PM,6,0,0,2,0,8,
9/17/2020,Thursday,6:30 PM,3,0,0,0,0,3,
9/17/2020,Thursday,7:30 PM,5,0,0,0,0,5,
9/18/2020,Friday,7:30 AM,0,0,0,0,0,0,
9/18/2020,Friday,8:30 AM,2,0,0,0,0,2,
9/18/2020,Friday,9:30 AM,1,0,1,0,0,2,
9/18/2020,Friday,10:30 AM,2,0,1,0,0,3,
9/18/2020,Friday,4:30 PM,5,0,0,0,0,5,
9/18/2020,Friday,5:30 PM,0,0,0,0,0,0,
9/18/2020,Friday,6:30 PM,0,0,0,0,0,0,
9/18/2020,Friday,7:30 PM,0,0,0,0,0,0,
9/21/2020,Monday,7:30 AM,0,0,0,0,0,0,
9/21/2020,Monday,8:30 AM,1,0,0,0,0,1,
9/21/2020,Monday,9:30 AM,5,0,0,0,0,5,
