Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
6/3/2019,Monday,8:30 AM,2,0,1,0,2,5
6/3/2019,Monday,9:30 AM,5,3,4,0,2,14
6/3/2019,Monday,10:30 AM,22,2,4,2,0,30
6/3/2019,Monday,11:30 AM,9,1,4,2,0,16
6/3/2019,Monday,1:30 PM,13,4,7,0,0,24
6/3/2019,Monday,2:30 PM,8,1,8,0,0,17
6/3/2019,Monday,3:30 PM,11,3,9,0,0,23
6/3/2019,Monday,4:30 PM,12,2,5,0,0,19
6/3/2019,Monday,5:30 PM,8,1,2,0,0,11
6/3/2019,Monday,6:30 PM,3,1,1,0,0,5
6/3/2019,Monday,7:30 PM,6,1,0,0,0,7
6/4/2019,Tuesday,8:30 AM,5,1,0,0,0,6
6/4/2019,Tuesday,10:30 AM,7,2,5,0,0,14
6/4/2019,Tuesday,11:30 AM,11,1,3,0,0,15
6/4/2019,Tuesday,12:30 PM,16,2,2,0,0,20
6/4/2019,Tuesday,1:30 PM,11,3,5,0,0,19
6/4/2019,Tuesday,2:30 PM,5,0,1,1,0,7
6/4/2019,Tuesday,3:30 PM,7,0,4,1,0,12
6/4/2019,Tuesday,4:30 PM,10,1,2,1,0,14
6/4/2019,Tuesday,5:30 PM,4,1,2,1,0,8
6/4/2019,Tuesday,7:30 PM,4,1,1,2,0,8
6/4/2019,Tuesday,8:30 PM,1,0,1,0,0,2
6/5/2019,Wednesday,10:30 AM,6,1,5,0,0,12
6/5/2019,Wednesday,11:30 AM,5,0,5,3,0,13
6/5/2019,Wednesday,12:30 PM,8,1,7,1,2,19
6/5/2019,Wednesday,1:30 PM,11,1,3,1,0,16
6/5/2019,Wednesday,2:30 PM,8,1,5,0,0,14
6/5/2019,Wednesday,3:30 PM,6,2,5,0,0,13
6/5/2019,Wednesday,4:30 PM,12,1,7,0,0,20
6/5/2019,Wednesday,5:30 PM,12,0,8,0,0,20
6/5/2019,Wednesday,6:30 PM,4,0,2,0,0,6
6/5/2019,Wednesday,7:30 PM,5,0,2,0,0,7
6/5/2019,Wednesday,8:30 PM,2,0,1,0,0,3
6/6/2019,Thursday,7:30 AM,0,0,1,0,0,1
6/6/2019,Thursday,8:30 AM,1,0,9,2,0,12
6/6/2019,Thursday,9:30 AM,4,0,4,2,2,12
6/6/2019,Thursday,10:30 AM,5,0,4,2,0,11
6/6/2019,Thursday,11:30 AM,9,0,4,2,0,15
6/6/2019,Thursday,12:30 PM,12,2,6,0,0,20
6/6/2019,Thursday,1:30 PM,8,1,3,0,0,12
6/6/2019,Thursday,2:30 PM,7,1,3,2,0,13
6/6/2019,Thursday,3:30 PM,7,1,5,1,0,14
6/6/2019,Thursday,4:30 PM,6,2,6,1,0,15
6/6/2019,Thursday,5:30 PM,6,0,7,0,1,14
6/6/2019,Thursday,6:30 PM,3,1,3,2,0,9
6/6/2019,Thursday,7:30 PM,4,1,2,0,0,7
6/6/2019,Thursday,8:30 PM,4,0,0,0,0,4
