Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
1/14/2019,Monday,7:30 AM,3,0,1,0,0,4
1/14/2019,Monday,8:30 AM,5,2,3,1,0,11
1/14/2019,Monday,9:30 AM,21,2,7,4,2,36
1/14/2019,Monday,10:30 AM,25,2,24,4,5,60
1/14/2019,Monday,11:30 AM,23,4,18,2,7,54
1/14/2019,Monday,1:30 PM,18,7,17,5,4,51
1/14/2019,Monday,2:30 PM,32,4,8,2,6,52
1/14/2019,Monday,3:30 PM,19,5,9,3,3,39
1/14/2019,Monday,4:30 PM,27,7,6,2,4,46
1/14/2019,Monday,5:30 PM,18,2,3,4,5,32
1/14/2019,Monday,6:30 PM,15,1,2,0,1,19
1/14/2019,Monday,7:30 PM,14,2,7,1,1,25
1/14/2019,Monday,8:30 PM,9,0,5,1,1,16
1/15/2019,Tuesday,8:30 AM,6,2,3,4,2,17
1/15/2019,Tuesday,9:30 AM,15,2,5,6,1,29
1/15/2019,Tuesday,10:30 AM,29,3,20,8,4,64
1/15/2019,Tuesday,11:30 AM,26,5,13,4,4,52
1/15/2019,Tuesday,12:30 PM,34,7,38,2,9,90
1/15/2019,Tuesday,1:30 PM,16,5,14,2,3,40
1/15/2019,Tuesday,2:30 PM,18,5,11,6,2,42
1/15/2019,Tuesday,3:30 PM,13,6,14,1,1,35
1/15/2019,Tuesday,4:30 PM,15,5,9,1,0,30
1/15/2019,Tuesday,5:30 PM,11,3,5,1,0,20
1/15/2019,Tuesday,6:30 PM,13,2,3,1,0,19
1/15/2019,Tuesday,7:30 PM,9,1,3,0,0,13
1/15/2019,Tuesday,8:30 PM,8,1,4,0,0,13
1/16/2019,Wednesday,7:30 AM,5,0,0,0,0,5
1/16/2019,Wednesday,8:30 AM,7,1,2,0,0,10
1/16/2019,Wednesday,9:30 AM,13,1,11,1,0,26
1/16/2019,Wednesday,10:30 AM,20,0,17,3,2,42
1/16/2019,Wednesday,11:30 AM,28,1,20,9,6,64
1/16/2019,Wednesday,12:30 PM,40,12,48,12,13,125
1/16/2019,Wednesday,1:30 PM,23,8,19,2,6,58
1/16/2019,Wednesday,2:30 PM,11,2,8,0,3,24
1/16/2019,Wednesday,3:30 PM,9,5,7,2,3,26
1/16/2019,Wednesday,5:30 PM,9,1,3,2,1,16
1/16/2019,Wednesday,6:30 PM,8,2,4,4,2,20
1/16/2019,Wednesday,7:30 PM,5,1,2,4,0,12
1/16/2019,Wednesday,8:30 PM,9,1,1,0,0,11
1/17/2019,Thursday,7:30 AM,6,0,0,0,1,7
1/17/2019,Thursday,8:30 AM,9,1,8,3,1,22
1/17/2019,Thursday,9:30 AM,19,3,14,5,3,44
1/17/2019,Thursday,10:30 AM,20,7,21,5,1,54
1/17/2019,Thursday,11:30 AM,24,4,17,7,3,55
1/17/2019,Thursday,12:30 PM,44,13,39,11,9,116
1/17/2019,Thursday,1:30 PM,23,5,17,3,0,48
1/17/2019,Thursday,3:30 PM,15,3,16,5,0,39
1/17/2019,Thursday,4:30 PM,12,3,11,4,2,32
1/17/2019,Thursday,5:30 PM,12,3,6,4,0,25
1/17/2019,Thursday,6:30 PM,12,1,4,3,0,20
1/17/2019,Thursday,7:30 PM,2,2,3,0,0,7
1/17/2019,Thursday,8:30 PM,5,1,3,0,1,10
1/18/2019,Friday,7:30 AM,1,0,1,0,0,2
1/18/2019,Friday,8:30 AM,4,1,2,0,0,7
1/18/2019,Friday,9:30 AM,4,0,1,0,0,5
1/18/2019,Friday,10:30 AM,10,0,3,0,0,13
1/18/2019,Friday,12:30 PM,15,0,3,0,3,21
1/18/2019,Friday,1:30 PM,14,1,0,0,1,16
1/18/2019,Friday,5:30 PM,11,0,7,0,0,18
1/18/2019,Friday,6:30 PM,5,1,6,1,0,13
1/18/2019,Friday,7:30 PM,4,0,0,0,1,5
1/18/2019,Friday,8:30 PM,2,0,0,0,0,2
1/19/2019,Saturday,9:30 AM,3,0,4,0,2,9
1/19/2019,Saturday,10:30 AM,4,0,2,0,1,7
1/19/2019,Saturday,11:30 AM,5,0,2,0,2,9
1/19/2019,Saturday,12:30 PM,6,2,2,0,0,10
1/19/2019,Saturday,1:30 PM,5,2,3,0,0,10
1/19/2019,Saturday,2:30 PM,10,2,2,0,0,14
1/19/2019,Saturday,3:30 PM,6,1,3,0,0,10
1/19/2019,Saturday,4:30 PM,5,1,3,0,0,9
1/19/2019,Saturday,5:30 PM,3,0,0,0,0,3
1/22/2019,Tuesday,7:30 AM,2,0,0,0,1,3
1/22/2019,Tuesday,8:30 AM,12,2,5,2,3,24
1/22/2019,Tuesday,9:30 AM,14,2,9,5,3,33
1/22/2019,Tuesday,11:30 AM,27,2,21,3,6,59
1/22/2019,Tuesday,12:30 PM,48,8,38,8,7,109
1/22/2019,Tuesday,1:30 PM,20,6,18,1,0,45
1/22/2019,Tuesday,3:30 PM,12,3,15,2,1,33
1/22/2019,Tuesday,4:30 PM,20,5,16,5,4,50
1/22/2019,Tuesday,5:30 PM,21,8,7,1,1,38
1/22/2019,Tuesday,6:30 PM,14,3,1,1,1,20
1/22/2019,Tuesday,7:30 PM,11,2,1,0,0,14
1/22/2019,Tuesday,8:30 PM,8,0,1,0,0,9
1/23/2019,Wednesday,7:30 AM,4,0,0,0,0,4
1/23/2019,Wednesday,8:30 AM,11,1,7,0,1,20
1/23/2019,Wednesday,9:30 AM,19,6,9,1,0,35
1/23/2019,Wednesday,10:30 AM,32,3,12,5,4,56
1/23/2019,Wednesday,11:30 AM,30,6,19,5,4,64
1/23/2019,Wednesday,12:30 PM,36,11,46,7,8,108
1/23/2019,Wednesday,1:30 PM,26,9,22,5,1,63
1/23/2019,Wednesday,2:30 PM,25,6,21,1,7,60
1/23/2019,Wednesday,3:30 PM,17,6,16,0,4,43
1/23/2019,Wednesday,5:30 PM,24,5,12,1,0,42
1/23/2019,Wednesday,6:30 PM,5,2,7,3,0,17
1/23/2019,Wednesday,7:30 PM,7,1,4,3,0,15
1/23/2019,Wednesday,8:30 PM,6,2,4,3,0,15
1/24/2019,Thursday,7:30 AM,4,0,0,0,0,4
1/24/2019,Thursday,8:30 AM,8,2,3,2,0,15
1/24/2019,Thursday,9:30 AM,18,5,16,4,2,45
1/24/2019,Thursday,10:30 AM,22,7,21,4,2,56
1/24/2019,Thursday,11:30 AM,21,5,22,2,3,53
1/24/2019,Thursday,12:30 PM,39,6,44,4,3,96
1/24/2019,Thursday,1:30 PM,14,6,12,2,2,36
1/24/2019,Thursday,3:30 PM,22,3,13,1,0,39
1/24/2019,Thursday,4:30 PM,14,3,14,5,0,36
1/24/2019,Thursday,5:30 PM,16,2,20,5,0,43
1/24/2019,Thursday,6:30 PM,8,1,9,2,0,20
1/24/2019,Thursday,7:30 PM,13,1,5,2,0,21
1/25/2019,Friday,7:30 AM,3,0,1,0,0,4
1/25/2019,Friday,8:30 AM,6,1,0,1,0,8
1/25/2019,Friday,9:30 AM,7,1,3,1,0,12
1/25/2019,Friday,10:30 AM,14,1,5,1,1,22
1/25/2019,Friday,12:30 PM,16,2,3,1,3,25
1/25/2019,Friday,5:30 PM,10,2,5,1,0,18
1/25/2019,Friday,6:30 PM,6,4,3,0,0,13
1/25/2019,Friday,7:30 PM,6,4,0,0,0,10
