Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
5/13/2019,Monday,8:30 AM,0,0,0,1,0,1
5/13/2019,Monday,9:30 AM,1,0,0,1,0,2
5/13/2019,Monday,10:30 AM,1,0,0,0,0,1
5/13/2019,Monday,11:30 AM,1,0,0,0,0,1
5/13/2019,Monday,12:30 PM,0,0,0,0,0,0
5/13/2019,Monday,1:30 PM,0,0,0,0,0,0
5/14/2019,Tuesday,9:30 AM,1,0,0,1,0,2
5/14/2019,Tuesday,9:30 AM,1,0,0,0,0,1
5/14/2019,Tuesday,10:30 AM,1,0,0,0,0,1
5/14/2019,Tuesday,12:30 PM,0,0,0,1,0,1
5/14/2019,Tuesday,12:30 PM,0,0,0,1,0,1
5/14/2019,Tuesday,1:30 PM,0,0,0,1,0,1
5/14/2019,Tuesday,2:30 PM,0,0,0,1,1,2
5/14/2019,Tuesday,3:30 PM,0,0,0,1,1,2
5/15/2019,Wednesday,9:30 AM,0,0,0,0,0,0
5/15/2019,Wednesday,9:30 AM,1,0,0,0,0,1
5/15/2019,Wednesday,9:30 AM,0,0,0,0,0,0
5/15/2019,Wednesday,9:30 AM,0,0,0,1,0,1
5/15/2019,Wednesday,2:30 PM,0,0,0,0,1,1
5/15/2019,Wednesday,3:30 PM,0,0,0,3,1,4
5/15/2019,Wednesday,4:30 PM,0,0,0,4,0,4
5/15/2019,Wednesday,5:30 PM,0,0,0,2,3,5
5/16/2019,Thursday,9:30 AM,0,0,0,0,0,0
5/16/2019,Thursday,10:30 AM,3,0,0,5,0,8
5/16/2019,Thursday,11:30 AM,1,0,0,5,0,6
5/16/2019,Thursday,12:30 PM,0,0,0,0,0,0
5/16/2019,Thursday,1:30 PM,0,0,0,0,0,0
5/16/2019,Thursday,2:30 PM,0,0,0,4,2,6
5/16/2019,Thursday,3:30 PM,0,0,0,2,2,4
5/16/2019,Thursday,4:30 PM,0,0,0,0,1,1
5/16/2019,Thursday,5:30 PM,0,0,0,0,0,0
5/17/2019,Friday,9:30 AM,3,0,0,0,0,3
5/17/2019,Friday,10:30 AM,2,0,0,0,0,2
5/17/2019,Friday,11:30 AM,2,0,0,0,0,2
5/17/2019,Friday,12:30 PM,3,0,1,0,0,4
5/17/2019,Friday,1:30 PM,2,0,1,0,0,3
5/17/2019,Friday,2:30 PM,2,1,0,0,0,3
5/17/2019,Friday,3:30 PM,4,1,2,0,0,7
5/17/2019,Friday,4:30 PM,3,1,2,0,0,6
5/17/2019,Friday,5:30 PM,4,1,0,0,1,6
5/20/2019,Monday,7:30 AM,1,0,0,0,0,1
5/20/2019,Monday,8:30 AM,3,0,0,0,0,3
5/20/2019,Monday,9:30 AM,2,0,1,0,0,3
5/21/2019,Tuesday,10:30 AM,1,0,0,0,0,1
5/21/2019,Tuesday,11:30 AM,1,0,0,0,0,1
5/21/2019,Tuesday,12:30 PM,2,0,0,0,0,2
5/21/2019,Tuesday,1:30 PM,4,1,0,0,0,5
5/21/2019,Tuesday,2:30 PM,6,0,0,0,0,6
5/21/2019,Tuesday,3:30 PM,4,2,0,0,0,6
5/21/2019,Tuesday,4:30 PM,1,0,0,0,0,1
5/21/2019,Tuesday,5:30 PM,2,0,2,0,0,4
5/22/2019,Wednesday,7:30 AM,1,0,0,0,0,1
5/22/2019,Wednesday,8:30 AM,3,0,0,0,0,3
5/22/2019,Wednesday,9:30 AM,2,0,0,0,0,2
5/21/2019,Tuesday,2:30 PM,3,1,0,0,0,4
5/21/2019,Tuesday,3:30 PM,8,1,2,0,0,11
5/22/2019,Wednesday,12:30 PM,3,1,1,0,0,5
5/21/2019,Tuesday,4:30 PM,6,0,0,0,0,6
5/22/2019,Wednesday,1:30 PM,6,0,0,0,0,6
5/22/2019,Wednesday,2:30 PM,1,0,3,0,0,4
5/22/2019,Wednesday,3:30 PM,2,0,2,0,0,4
5/22/2019,Wednesday,4:30 PM,1,0,3,0,0,4
5/22/2019,Wednesday,5:30 PM,2,1,2,0,0,5
5/23/2019,Thursday,7:30 AM,1,0,0,0,0,1
5/23/2019,Thursday,8:30 AM,2,0,0,0,0,2
5/23/2019,Thursday,10:30 AM,2,0,0,0,0,2
5/23/2019,Thursday,11:30 AM,2,1,5,0,0,8
5/23/2019,Thursday,12:30 PM,1,1,4,0,0,6
5/23/2019,Thursday,1:30 PM,1,1,4,0,0,6
5/23/2019,Thursday,2:30 PM,3,1,1,0,0,5
5/23/2019,Thursday,3:30 PM,2,0,1,0,0,3
5/23/2019,Thursday,4:30 PM,2,0,1,0,0,3
5/23/2019,Thursday,5:30 PM,2,0,1,0,0,3
5/24/2019,Friday,7:30 AM,0,0,0,0,0,0
5/24/2019,Friday,8:30 AM,2,0,0,0,0,2
5/24/2019,Friday,9:30 AM,3,0,0,0,0,3
5/24/2019,Friday,10:30 AM,1,0,0,0,0,1
5/24/2019,Friday,11:30 AM,4,1,0,0,0,5
5/24/2019,Friday,12:30 PM,2,1,0,0,0,3
5/24/2019,Friday,2:30 PM,3,1,2,0,0,6
5/24/2019,Friday,3:30 PM,0,0,2,0,0,2
5/24/2019,Friday,5:30 PM,0,1,0,0,0,1
5/28/2019,Tuesday,7:30 AM,0,0,0,0,0,0
5/28/2019,Tuesday,8:30 AM,0,0,0,0,0,0
5/28/2019,Tuesday,9:30 AM,1,0,0,0,0,1
5/28/2019,Tuesday,10:30 AM,4,0,0,0,0,4
5/28/2019,Tuesday,11:30 AM,1,1,1,0,0,3
5/28/2019,Tuesday,12:30 PM,3,1,4,0,0,8
5/28/2019,Tuesday,1:30 PM,2,1,2,0,0,5
5/28/2019,Tuesday,2:30 PM,2,0,1,0,0,3
5/28/2019,Tuesday,4:30 PM,3,1,1,0,0,5
5/28/2019,Tuesday,5:30 PM,1,1,0,0,0,2
5/29/2019,Wednesday,7:30 AM,2,0,0,0,0,2
5/29/2019,Wednesday,10:30 AM,2,0,1,0,1,4
5/29/2019,Wednesday,10:30 AM,4,1,1,0,0,6
5/29/2019,Wednesday,11:30 AM,4,1,0,0,0,5
5/29/2019,Wednesday,12:30 PM,7,2,1,0,3,13
5/29/2019,Wednesday,1:30 PM,6,1,1,0,0,8
5/29/2019,Wednesday,2:30 PM,2,0,1,0,0,3
5/29/2019,Wednesday,3:30 PM,4,1,0,0,0,5
5/29/2019,Wednesday,5:30 PM,4,0,1,0,0,5
5/30/2019,Thursday,7:30 AM,1,0,0,0,0,1
5/30/2019,Thursday,8:30 AM,0,1,0,0,0,1
5/30/2019,Thursday,9:30 AM,1,0,0,0,0,1
5/30/2019,Thursday,10:30 AM,6,0,0,0,2,8
5/30/2019,Thursday,11:30 AM,6,0,0,0,0,6
5/30/2019,Thursday,12:30 PM,3,1,0,0,4,8
5/30/2019,Thursday,1:30 PM,3,1,0,0,0,4
5/30/2019,Thursday,3:30 PM,4,3,0,0,0,7
5/30/2019,Thursday,4:30 PM,1,1,0,0,0,2
5/30/2019,Thursday,5:30 PM,0,2,0,0,0,2
5/31/2019,Friday,7:30 AM,1,0,0,0,0,1
5/31/2019,Friday,8:30 AM,2,0,0,0,0,2
5/31/2019,Friday,9:30 AM,5,0,1,0,0,6
5/31/2019,Friday,10:30 AM,4,0,0,0,0,4
5/31/2019,Friday,11:30 AM,5,0,0,0,0,5
5/31/2019,Friday,12:30 PM,2,0,1,0,0,3
5/31/2019,Friday,1:30 PM,3,1,1,0,0,5
5/31/2019,Friday,3:30 PM,3,0,5,0,0,8
5/31/2019,Friday,4:30 PM,2,0,1,0,0,3
5/31/2019,Friday,5:30 PM,1,1,0,0,0,2
