Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
12/16/2019,Monday,7:30 AM,1,0,0,0,0,1
12/16/2019,Monday,8:30 AM,3,0,0,0,0,3
12/16/2019,Monday,9:30 AM,10,0,2,0,0,12
12/16/2019,Monday,10:30 AM,6,0,0,2,0,8
12/16/2019,Monday,11:30 AM,6,0,0,0,0,6
12/16/2019,Monday,12:30 PM,7,0,0,0,0,7
12/16/2019,Monday,1:30 PM,4,0,1,0,0,5
12/16/2019,Monday,4:30 PM,3,0,1,1,0,5
12/17/2019,Tuesday,7:30 AM,1,0,0,0,0,1
12/17/2019,Tuesday,8:30 AM,4,0,0,0,0,4
12/17/2019,Tuesday,9:30 AM,2,0,1,0,0,3
12/17/2019,Tuesday,10:30 AM,5,0,0,0,0,5
12/17/2019,Tuesday,12:30 PM,6,0,0,0,0,6
12/17/2019,Tuesday,1:30 PM,5,2,2,0,0,9
12/17/2019,Tuesday,4:30 PM,3,1,1,1,0,6
12/18/2019,Wednesday,7:30 AM,1,0,0,0,0,1
12/18/2019,Wednesday,10:30 AM,2,0,0,0,0,2
12/18/2019,Wednesday,12:30 PM,6,0,0,0,0,6
12/18/2019,Wednesday,1:30 PM,4,0,0,2,0,6
12/18/2019,Wednesday,3:30 PM,0,2,0,1,0,3
12/18/2019,Wednesday,4:30 PM,1,2,1,1,1,6
12/19/2019,Thursday,7:30 AM,0,0,0,0,0,0
12/19/2019,Thursday,8:30 AM,1,0,0,0,0,1
12/19/2019,Thursday,12:30 PM,5,0,0,0,0,5
12/19/2019,Thursday,1:30 PM,2,0,2,0,0,4
12/20/2019,Friday,8:30 AM,3,0,0,0,0,3
12/20/2019,Friday,9:30 AM,3,0,0,0,0,3
12/20/2019,Friday,10:30 AM,3,0,0,0,0,3
12/20/2019,Friday,11:30 AM,1,0,0,0,0,1
12/20/2019,Friday,12:30 PM,3,0,0,0,0,3
12/20/2019,Friday,1:30 PM,5,0,0,0,0,5
12/20/2019,Friday,2:30 PM,1,0,0,0,0,1
12/20/2019,Friday,3:30 PM,0,1,0,0,0,1
1/2/2020,Thursday,7:30 AM,0,0,0,0,0,0
1/2/2020,Thursday,8:30 AM,1,0,0,0,0,1
1/2/2020,Thursday,9:30 AM,3,0,0,0,0,3
1/2/2020,Thursday,10:30 AM,2,0,2,0,0,4
1/3/2020,Friday,7:30 AM,1,0,0,0,0,1
1/3/2020,Friday,8:30 AM,2,0,0,0,0,2
1/3/2020,Friday,9:30 AM,4,0,0,0,0,4
1/3/2020,Friday,10:30 AM,5,0,1,0,0,6
1/3/2020,Friday,11:30 AM,3,0,1,0,0,4
1/3/2020,Friday,12:30 PM,4,0,1,0,0,5
1/3/2020,Friday,1:30 PM,3,0,1,0,0,4
1/6/2020,Monday,7:30 AM,1,0,0,0,0,1
1/6/2020,Monday,8:30 AM,2,1,1,0,0,4
1/6/2020,Monday,9:30 AM,3,1,3,0,0,7
1/6/2020,Monday,10:30 AM,9,2,2,1,0,14
1/6/2020,Monday,11:30 AM,7,0,2,0,0,9
1/6/2020,Monday,12:30 PM,5,1,3,2,0,11
1/6/2020,Monday,2:30 PM,8,0,4,0,0,12
1/6/2020,Monday,2:30 PM,5,1,2,1,0,9
1/6/2020,Monday,3:30 PM,9,1,1,1,0,12
1/7/2020,Tuesday,7:30 AM,0,0,0,0,0,0
1/7/2020,Tuesday,9:30 AM,5,1,0,0,0,6
1/7/2020,Tuesday,10:30 AM,2,2,0,0,0,4
1/7/2020,Tuesday,11:30 AM,3,2,1,0,0,6
1/7/2020,Tuesday,12:30 PM,6,2,1,0,0,9
1/7/2020,Tuesday,1:30 PM,12,2,2,0,0,16
1/7/2020,Tuesday,2:30 PM,2,1,5,0,0,8
1/7/2020,Tuesday,3:30 PM,5,1,1,1,0,8
1/7/2020,Tuesday,5:30 PM,6,1,0,0,0,7
1/8/2020,Wednesday,7:30 AM,2,0,0,0,0,2
1/8/2020,Wednesday,8:30 AM,1,1,2,0,0,4
1/8/2020,Wednesday,9:30 AM,3,1,0,0,0,4
1/8/2020,Wednesday,10:30 AM,9,1,1,0,0,11
1/8/2020,Wednesday,11:30 AM,8,3,0,0,1,12
1/8/2020,Wednesday,12:30 PM,12,1,1,0,0,14
1/8/2020,Wednesday,2:30 PM,11,2,4,2,0,19
1/8/2020,Wednesday,3:30 PM,6,2,2,4,0,14
