Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
1/13/2020,Monday,8:30 AM,9,1,2,2,3,17
1/13/2020,Monday,9:30 AM,12,5,8,1,3,29
1/13/2020,Monday,10:30 AM,15,8,14,0,5,42
1/13/2020,Monday,11:30 AM,17,2,17,0,0,36
1/13/2020,Monday,1:30 PM,22,3,22,3,0,50
1/13/2020,Monday,1:30 PM,23,3,18,4,2,50
1/13/2020,Monday,2:30 PM,16,4,15,2,4,41
1/13/2020,Monday,3:30 PM,12,3,8,3,5,31
1/13/2020,Monday,4:30 PM,15,5,9,4,3,36
1/13/2020,Monday,5:30 PM,6,4,11,1,0,22
1/13/2020,Monday,5:30 PM,9,0,0,0,0,9
1/13/2020,Monday,6:30 PM,7,1,3,1,0,12
1/13/2020,Monday,7:30 PM,7,0,0,1,0,8
1/14/2020,Tuesday,7:30 AM,0,0,0,0,3,3
1/14/2020,Tuesday,8:30 AM,6,3,3,1,1,14
1/14/2020,Tuesday,9:30 AM,10,3,9,4,0,26
1/14/2020,Tuesday,10:30 AM,19,2,10,7,3,41
1/14/2020,Tuesday,11:30 AM,19,4,15,3,4,45
1/14/2020,Tuesday,12:30 PM,42,4,36,6,0,88
1/14/2020,Tuesday,1:30 PM,28,4,15,2,0,49
1/14/2020,Tuesday,5:30 PM,11,2,10,1,0,24
1/14/2020,Tuesday,6:30 PM,11,2,1,1,0,15
1/14/2020,Tuesday,7:30 PM,7,3,3,0,0,13
1/14/2020,Tuesday,8:30 PM,7,2,1,0,0,10
1/15/2020,Wednesday,7:30 AM,1,1,0,0,0,2
1/15/2020,Wednesday,8:30 AM,11,1,2,0,0,14
1/15/2020,Wednesday,10:30 AM,21,5,19,1,0,46
1/15/2020,Wednesday,12:30 PM,12,38,42,5,4,101
1/15/2020,Wednesday,1:30 PM,12,3,16,4,1,36
1/15/2020,Wednesday,6:30 PM,8,3,5,0,0,16
1/16/2020,Thursday,7:30 AM,0,0,0,0,0,0
1/16/2020,Thursday,8:30 AM,7,0,4,0,1,12
1/16/2020,Thursday,9:30 AM,7,2,11,1,0,21
1/16/2020,Thursday,10:30 AM,14,1,11,0,0,26
1/16/2020,Thursday,11:30 AM,17,5,27,1,0,50
1/16/2020,Thursday,12:30 PM,28,11,47,4,1,91
1/16/2020,Thursday,1:30 PM,17,7,24,0,0,48
1/16/2020,Thursday,2:30 PM,20,9,15,2,0,46
1/16/2020,Thursday,3:30 PM,15,7,9,3,0,34
1/16/2020,Thursday,4:30 PM,23,3,16,1,3,46
1/16/2020,Thursday,5:30 PM,12,3,13,2,3,33
1/16/2020,Thursday,7:30 PM,14,1,5,2,0,22
1/16/2020,Thursday,8:30 PM,10,1,1,1,0,13
1/17/2020,Friday,7:30 AM,1,0,0,0,1,2
1/17/2020,Friday,8:30 AM,4,1,3,0,1,9
1/17/2020,Friday,10:30 AM,7,2,12,1,0,22
1/17/2020,Friday,1:30 PM,11,4,6,2,3,26
1/17/2020,Friday,2:30 PM,11,1,9,0,0,21
1/17/2020,Friday,3:30 PM,5,3,9,1,0,18
1/17/2020,Friday,4:30 PM,8,1,7,2,0,18
1/17/2020,Friday,7:30 PM,2,3,3,2,0,10
1/17/2020,Friday,8:30 PM,0,1,1,1,0,3
1/18/2020,Saturday,2:30 PM,9,2,5,0,0,16
1/18/2020,Saturday,3:30 PM,10,4,6,0,0,20
1/18/2020,Saturday,4:30 PM,13,4,5,0,0,22
1/21/2020,Tuesday,7:30 AM,2,0,2,0,0,4
1/21/2020,Tuesday,8:30 AM,7,0,3,0,0,10
1/21/2020,Tuesday,9:30 AM,13,4,14,3,5,39
1/21/2020,Tuesday,10:30 AM,23,6,15,6,0,50
1/21/2020,Tuesday,1:30 PM,27,13,26,5,0,71
1/21/2020,Tuesday,5:30 PM,24,4,11,5,3,47
1/21/2020,Tuesday,6:30 PM,11,2,8,3,0,24
1/21/2020,Tuesday,7:30 PM,10,3,11,0,0,24
1/21/2020,Tuesday,8:30 PM,11,0,7,2,0,20
1/22/2020,Wednesday,7:30 AM,1,0,1,0,0,2
1/22/2020,Wednesday,8:30 AM,8,2,4,0,2,16
1/22/2020,Wednesday,9:30 AM,16,4,13,5,2,40
1/22/2020,Wednesday,10:30 AM,19,8,20,5,0,52
1/22/2020,Wednesday,11:30 AM,19,4,29,0,0,52
1/22/2020,Wednesday,12:30 PM,50,13,48,7,0,118
1/22/2020,Wednesday,1:30 PM,16,5,19,6,3,49
1/22/2020,Wednesday,2:30 PM,20,7,15,9,3,54
1/22/2020,Wednesday,3:30 PM,15,4,16,7,2,44
1/22/2020,Wednesday,5:30 PM,18,2,14,2,0,36
1/22/2020,Wednesday,6:30 PM,7,4,9,0,0,20
1/22/2020,Wednesday,7:30 PM,7,4,7,2,0,20
1/22/2020,Wednesday,8:30 PM,2,4,1,2,0,9
1/23/2020,Thursday,7:30 AM,4,0,0,0,0,4
1/23/2020,Thursday,8:30 AM,5,3,1,5,0,14
1/23/2020,Thursday,9:30 AM,10,3,13,7,2,35
1/23/2020,Thursday,11:30 AM,26,5,18,4,0,53
1/23/2020,Thursday,12:30 PM,43,6,27,5,0,81
1/23/2020,Thursday,1:30 PM,17,7,8,3,0,35
1/23/2020,Thursday,3:30 PM,10,7,19,10,0,46
1/23/2020,Thursday,4:30 PM,10,3,18,7,0,38
1/23/2020,Thursday,6:30 PM,10,3,16,4,1,34
1/23/2020,Thursday,7:30 PM,15,2,5,1,0,23
1/23/2020,Thursday,8:30 PM,14,3,3,2,0,22
1/24/2020,Friday,7:30 AM,1,0,0,0,0,1
1/24/2020,Friday,8:30 AM,3,0,2,0,0,5
1/24/2020,Friday,9:30 AM,5,0,7,0,0,12
1/24/2020,Friday,10:30 AM,7,2,6,1,0,16
1/24/2020,Friday,11:30 AM,12,1,6,3,6,28
1/24/2020,Friday,12:30 PM,11,4,4,4,1,24
1/24/2020,Friday,5:30 PM,14,1,5,5,0,25
1/24/2020,Friday,6:30 PM,11,1,8,5,0,25
1/24/2020,Friday,7:30 PM,7,1,8,2,0,18
1/25/2020,Saturday,9:30 AM,0,0,0,2,0,2
1/25/2020,Saturday,10:30 AM,0,2,2,0,0,4
1/25/2020,Saturday,11:30 AM,7,3,2,0,1,13
1/25/2020,Saturday,12:30 PM,7,4,4,0,3,18
1/25/2020,Saturday,2:30 PM,7,7,9,2,1,26
1/27/2020,Monday,10:30 AM,18,7,22,4,2,53
1/27/2020,Monday,11:30 AM,20,8,17,1,0,46
1/27/2020,Monday,12:30 PM,42,13,36,5,0,96
1/27/2020,Monday,1:30 PM,23,9,20,9,0,61
1/27/2020,Monday,2:30 PM,18,5,11,5,3,42
1/27/2020,Monday,4:30 PM,13,7,15,2,0,37
1/27/2020,Monday,5:30 PM,13,5,13,7,0,38
1/27/2020,Monday,6:30 PM,10,4,7,2,0,23
1/27/2020,Monday,7:30 PM,10,4,4,1,0,19
1/27/2020,Monday,8:30 PM,5,3,5,0,0,13
1/28/2020,Tuesday,7:30 AM,2,0,0,0,0,2
1/28/2020,Tuesday,8:30 AM,8,1,2,1,0,12
1/28/2020,Tuesday,9:30 AM,12,5,15,2,0,34
1/28/2020,Tuesday,10:30 AM,19,9,15,4,0,47
1/28/2020,Tuesday,11:30 AM,21,10,16,4,0,51
1/28/2020,Tuesday,12:30 PM,37,14,39,5,0,95
1/28/2020,Tuesday,1:30 PM,21,6,18,6,0,51
1/29/2020,Wednesday,7:30 AM,2,0,2,0,0,4
1/29/2020,Wednesday,8:30 AM,8,1,5,2,0,16
1/29/2020,Wednesday,10:30 AM,28,5,15,4,0,52
1/29/2020,Wednesday,11:30 AM,20,7,22,1,0,50
1/29/2020,Wednesday,1:30 PM,18,10,27,2,0,57
1/29/2020,Wednesday,2:30 PM,0,0,0,0,0,0
1/29/2020,Wednesday,2:30 PM,23,10,20,5,0,58
1/29/2020,Wednesday,3:30 PM,17,6,18,4,0,45
1/29/2020,Wednesday,4:30 PM,10,5,15,6,3,39
1/29/2020,Wednesday,5:30 PM,8,5,15,3,0,31
1/29/2020,Wednesday,6:30 PM,4,4,12,3,0,23
1/29/2020,Wednesday,7:30 PM,7,2,12,2,0,23
1/29/2020,Wednesday,8:30 PM,9,1,7,0,0,17
1/30/2020,Thursday,7:30 AM,5,0,1,0,0,6
1/30/2020,Thursday,8:30 AM,4,3,5,2,0,14
1/30/2020,Thursday,9:30 AM,14,3,17,2,1,37
1/30/2020,Thursday,10:30 AM,24,6,33,1,9,73
1/30/2020,Thursday,11:30 AM,23,4,13,4,1,45
1/30/2020,Thursday,12:30 PM,34,11,32,9,5,91
1/30/2020,Thursday,1:30 PM,21,6,20,3,1,51
1/31/2020,Friday,11:30 AM,10,4,8,1,2,25
1/31/2020,Friday,6:30 PM,5,2,7,4,1,19
1/31/2020,Friday,7:30 PM,2,4,7,5,0,18
2/1/2020,Saturday,9:30 AM,3,2,0,0,1,6
2/1/2020,Saturday,10:30 AM,3,1,1,0,5,10
2/1/2020,Saturday,11:30 AM,4,2,6,0,0,12
2/1/2020,Saturday,12:30 PM,7,2,7,0,2,18
2/1/2020,Saturday,2:30 PM,6,4,9,2,0,21
2/1/2020,Saturday,3:30 PM,8,4,13,2,0,27
2/1/2020,Saturday,4:30 PM,8,2,8,4,0,22
2/1/2020,Saturday,5:30 PM,0,0,0,0,0,0
2/3/2020,Monday,10:30 AM,33,5,19,5,2,64
2/3/2020,Monday,11:30 AM,25,6,19,4,0,54
2/3/2020,Monday,12:30 PM,50,13,46,5,4,118
2/3/2020,Monday,1:30 PM,23,6,14,11,3,57
2/3/2020,Monday,2:30 PM,27,5,11,11,2,56
2/3/2020,Monday,5:30 PM,22,8,14,7,1,52
2/3/2020,Monday,6:30 PM,12,7,7,7,0,33
2/3/2020,Monday,7:30 PM,13,5,18,4,0,40
2/4/2020,Tuesday,7:30 AM,2,0,0,0,0,2
2/4/2020,Tuesday,8:30 AM,17,3,7,4,0,31
2/4/2020,Tuesday,9:30 AM,16,4,11,8,4,43
2/4/2020,Tuesday,10:30 AM,17,5,15,3,2,42
2/4/2020,Tuesday,11:30 AM,28,9,15,7,3,62
2/4/2020,Tuesday,12:30 PM,43,11,32,5,8,99
2/4/2020,Tuesday,1:30 PM,22,8,22,8,0,60
2/4/2020,Tuesday,3:30 PM,18,8,21,10,0,57
2/4/2020,Tuesday,4:30 PM,14,5,16,4,0,39
2/6/2020,Thursday,7:30 AM,0,0,0,0,0,0
2/6/2020,Thursday,8:30 AM,10,4,3,2,0,19
2/6/2020,Thursday,9:30 AM,11,3,14,1,0,29
2/6/2020,Thursday,10:30 AM,22,8,17,8,0,55
2/6/2020,Thursday,1:30 PM,16,6,16,4,0,42
2/7/2020,Friday,7:30 AM,0,0,0,0,0,0
2/7/2020,Friday,8:30 AM,3,1,2,0,0,6
2/7/2020,Friday,9:30 AM,4,2,6,2,0,14
2/7/2020,Friday,10:30 AM,7,6,7,4,2,26
2/7/2020,Friday,12:30 PM,10,3,8,6,3,30
2/7/2020,Friday,1:30 PM,11,3,13,4,1,32
2/7/2020,Friday,2:30 PM,7,4,11,0,2,24
2/7/2020,Friday,3:30 PM,11,3,8,0,1,23
2/7/2020,Friday,4:30 PM,11,5,6,2,1,25
2/7/2020,Friday,5:30 PM,14,3,2,4,0,23
