Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total,
12/15/2020,Tuesday,9:30 AM,2,0,0,0,0,2,
12/15/2020,Tuesday,10:30 AM,4,0,0,0,0,4,
12/15/2020,Tuesday,11:30 AM,2,0,0,0,0,2,
12/15/2020,Tuesday,1:30 PM,1,0,0,0,0,1,
12/15/2020,Tuesday,12:30 PM,1,0,0,0,0,1,
12/15/2020,Tuesday,1:30 PM,1,0,0,0,0,1,
12/15/2020,Tuesday,2:30 PM,2,0,0,0,0,2,
12/15/2020,Tuesday,2:30 PM,1,0,0,0,0,1,
12/15/2020,Tuesday,3:30 PM,3,0,0,0,0,3,
12/15/2020,Tuesday,4:30 PM,4,0,0,0,1,5,
12/15/2020,Tuesday,5:30 PM,0,0,0,0,0,0,
12/16/2020,Wednesday,9:30 AM,0,0,0,0,0,0,
12/16/2020,Wednesday,10:30 AM,2,0,0,0,0,2,
12/16/2020,Wednesday,11:30 AM,0,0,0,0,0,0,
12/16/2020,Wednesday,12:30 PM,0,0,0,0,0,0,
12/16/2020,Wednesday,1:30 PM,0,0,0,0,0,0,
12/16/2020,Wednesday,2:30 PM,0,0,0,0,0,0,
12/16/2020,Wednesday,3:30 PM,1,0,0,0,0,1,
12/16/2020,Wednesday,4:30 PM,1,0,0,0,0,1,
12/16/2020,Wednesday,5:30 PM,2,0,0,0,0,2,
12/17/2020,Thursday,9:30 AM,1,0,0,0,0,1,
12/17/2020,Thursday,10:30 AM,2,0,0,0,0,2,
12/17/2020,Thursday,11:30 AM,1,0,0,0,0,1,
12/17/2020,Thursday,1:30 PM,1,0,0,0,0,1,
12/17/2020,Thursday,2:30 PM,0,0,0,0,0,0,
12/17/2020,Thursday,3:30 PM,1,0,0,0,0,1,
12/17/2020,Thursday,4:30 PM,1,0,0,0,0,1,
12/17/2020,Thursday,5:30 PM,1,0,0,0,0,1,
12/18/2020,Friday,9:30 AM,1,0,0,0,0,1,
12/18/2020,Friday,10:30 AM,4,0,0,1,0,5,
12/18/2020,Friday,12:30 PM,0,0,0,0,0,0,
12/18/2020,Friday,1:30 PM,0,0,0,0,0,0,
12/18/2020,Friday,2:30 PM,0,0,0,0,0,0,
12/18/2020,Friday,3:30 PM,0,0,0,0,0,0,
12/18/2020,Friday,4:30 PM,0,0,0,0,0,0,
12/21/2020,Monday,9:30 AM,0,0,0,0,0,0,
12/21/2020,Monday,10:30 AM,0,0,0,0,0,0,
12/21/2020,Monday,11:30 AM,1,0,0,0,0,1,
12/21/2020,Monday,12:30 PM,1,0,0,0,0,1,
12/21/2020,Monday,12:30 PM,1,0,0,0,0,1,
12/21/2020,Monday,2:30 PM,1,0,0,0,0,1,
12/21/2020,Monday,1:30 PM,1,0,0,0,0,1,
12/21/2020,Monday,2:30 PM,1,0,0,0,0,1,
12/21/2020,Monday,3:30 PM,2,0,0,0,0,2,
12/21/2020,Monday,4:30 PM,0,0,0,0,0,0,
12/21/2020,Monday,5:30 PM,0,0,0,0,0,0,
12/22/2020,Tuesday,9:30 AM,0,0,0,2,0,2,
12/22/2020,Tuesday,10:30 AM,0,0,0,0,0,0,
12/22/2020,Tuesday,11:30 AM,0,0,0,0,0,0,
12/22/2020,Tuesday,12:30 PM,1,0,0,0,0,1,
12/22/2020,Tuesday,1:30 PM,1,0,0,0,0,1,
12/22/2020,Tuesday,2:30 PM,0,0,0,0,3,3,
12/22/2020,Tuesday,2:30 PM,0,0,1,0,3,4,
12/22/2020,Tuesday,3:30 PM,0,0,1,0,0,1,
12/22/2020,Tuesday,4:30 PM,0,0,0,0,0,0,
12/22/2020,Tuesday,5:30 PM,0,0,0,0,0,0,
12/23/2020,Wednesday,9:30 AM,0,0,0,0,0,0,
12/23/2020,Wednesday,10:30 AM,0,0,0,0,0,0,
12/23/2020,Wednesday,11:30 AM,2,0,0,0,0,2,
12/23/2020,Wednesday,12:30 PM,3,0,0,0,0,3,
12/23/2020,Wednesday,1:30 PM,1,0,0,0,0,1,
12/23/2020,Wednesday,2:30 PM,0,0,0,0,0,0,
12/23/2020,Wednesday,3:30 PM,0,0,0,0,0,0,
12/23/2020,Wednesday,4:30 PM,0,0,0,0,0,0,
12/23/2020,Wednesday,5:30 PM,0,0,0,0,0,0,
1/4/2021,Monday,9:30 AM,1,0,0,0,0,1,
1/4/2021,Monday,10:30 AM,2,0,0,0,0,2,
1/4/2021,Monday,11:30 AM,2,0,0,0,0,2,
1/4/2021,Monday,12:30 PM,1,0,0,0,0,1,
1/4/2021,Monday,2:30 PM,0,0,0,0,0,0,
1/4/2021,Monday,3:30 PM,2,0,0,0,0,2,
1/4/2021,Monday,4:30 PM,2,0,0,0,0,2,
1/4/2021,Monday,5:30 PM,0,0,0,0,0,0,
1/5/2021,Tuesday,9:30 AM,2,0,0,0,0,2,
1/5/2021,Tuesday,10:30 AM,0,0,0,0,0,0,
1/5/2021,Tuesday,11:30 AM,0,0,0,0,0,0,
1/5/2021,Tuesday,12:30 PM,0,0,0,0,0,0,
1/5/2021,Tuesday,2:30 PM,2,0,0,0,0,2,
1/5/2021,Tuesday,3:30 PM,0,0,0,0,0,0,
1/5/2021,Tuesday,4:30 PM,0,0,0,0,0,0,
1/5/2021,Tuesday,5:30 PM,0,0,0,0,0,0,
1/6/2021,Wednesday,9:30 AM,0,0,0,0,0,0,
1/6/2021,Wednesday,10:30 AM,0,0,0,0,0,0,
1/6/2021,Wednesday,11:30 AM,1,0,0,0,0,1,
1/6/2021,Wednesday,12:30 PM,0,0,0,0,0,0,
1/6/2021,Wednesday,2:30 PM,0,0,0,0,0,0,
1/6/2021,Wednesday,3:30 PM,0,0,0,0,0,0,
1/6/2021,Wednesday,4:30 PM,0,0,0,0,0,0,
1/6/2021,Wednesday,5:30 PM,0,0,0,0,0,0,
1/7/2021,Thursday,8:30 AM,1,0,0,0,0,1,
1/7/2021,Thursday,10:30 AM,0,0,0,0,0,0,
1/7/2021,Thursday,11:30 AM,1,0,0,0,5,6,
