Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
5/17/2021,Monday,7:30 AM,1,0,0,0,0,1
5/17/2021,Monday,8:30 AM,2,0,0,0,0,2
5/17/2021,Monday,9:30 AM,3,0,0,0,0,3
5/17/2021,Monday,10:30 AM,2,0,0,0,0,2
5/17/2021,Monday,10:30 AM,2,0,0,0,0,2
5/17/2021,Monday,11:30 AM,1,0,1,0,1,3
5/17/2021,Monday,12:30 PM,2,0,1,0,1,4
5/17/2021,Monday,1:30 PM,4,0,0,0,1,5
5/17/2021,Monday,2:30 PM,0,0,0,0,0,0
5/17/2021,Monday,3:30 PM,0,0,0,0,1,1
5/17/2021,Monday,4:30 PM,1,0,0,0,1,2
5/17/2021,Monday,5:30 PM,0,0,0,0,0,0
5/18/2021,Tuesday,9:30 AM,3,0,0,0,0,3
5/18/2021,Tuesday,10:30 AM,0,0,0,0,0,0
5/18/2021,Tuesday,11:30 AM,0,0,0,0,0,0
5/18/2021,Tuesday,1:30 PM,1,0,0,0,0,1
5/18/2021,Tuesday,2:30 PM,0,0,0,0,0,0
5/18/2021,Tuesday,3:30 PM,1,0,0,0,0,1
5/18/2021,Tuesday,4:30 PM,0,0,1,0,0,1
5/19/2021,Wednesday,7:30 AM,1,0,2,0,0,3
5/19/2021,Wednesday,9:30 AM,1,0,2,1,0,4
5/19/2021,Wednesday,10:30 AM,2,0,3,1,0,6
5/19/2021,Wednesday,11:30 AM,3,0,2,0,3,8
5/19/2021,Wednesday,12:30 PM,3,0,3,0,2,8
5/19/2021,Wednesday,1:30 PM,2,1,1,0,0,4
5/19/2021,Wednesday,2:30 PM,0,0,0,0,0,0
5/19/2021,Wednesday,3:30 PM,2,0,1,0,0,3
5/19/2021,Wednesday,4:30 PM,1,0,0,1,0,2
5/20/2021,Thursday,7:30 AM,1,0,0,0,0,1
5/20/2021,Thursday,8:30 AM,1,0,0,0,1,2
5/20/2021,Thursday,9:30 AM,1,0,1,0,1,3
5/20/2021,Thursday,10:30 AM,0,0,0,0,1,1
5/20/2021,Thursday,11:30 AM,0,0,0,0,0,0
5/20/2021,Thursday,12:30 PM,0,0,0,0,0,0
5/20/2021,Thursday,1:30 PM,0,0,0,0,1,1
5/20/2021,Thursday,2:30 PM,1,0,0,0,0,1
5/20/2021,Thursday,3:30 PM,1,0,0,0,0,1
5/20/2021,Thursday,4:30 PM,0,0,0,0,0,0
5/20/2021,Thursday,5:30 PM,0,0,0,0,0,0
5/21/2021,Friday,7:30 AM,1,0,0,0,0,1
5/21/2021,Friday,8:30 AM,1,0,0,0,0,1
5/21/2021,Friday,9:30 AM,1,0,0,0,0,1
5/21/2021,Friday,10:30 AM,2,0,0,0,0,2
5/21/2021,Friday,11:30 AM,2,0,0,0,1,3
5/21/2021,Friday,12:30 PM,2,0,0,0,2,4
5/21/2021,Friday,1:30 PM,3,0,0,0,2,5
5/21/2021,Friday,2:30 PM,0,0,0,0,2,2
5/21/2021,Friday,3:30 PM,4,0,0,0,2,6
5/24/2021,Monday,7:30 AM,1,0,0,0,0,1
5/24/2021,Monday,8:30 AM,3,0,0,0,1,4
5/24/2021,Monday,9:30 AM,2,0,0,0,2,4
5/24/2021,Monday,10:30 AM,3,0,0,0,1,4
5/24/2021,Monday,11:30 AM,3,0,0,0,0,3
5/24/2021,Monday,12:30 PM,3,0,0,0,0,3
5/24/2021,Monday,1:30 PM,4,0,0,0,0,4
5/24/2021,Monday,2:30 PM,0,0,0,0,1,1
5/24/2021,Monday,3:30 PM,2,0,0,0,0,2
5/24/2021,Monday,4:30 PM,1,0,0,0,0,1
5/24/2021,Monday,5:30 PM,1,2,0,0,0,3
5/25/2021,Tuesday,7:30 AM,0,0,0,0,0,0
5/25/2021,Tuesday,8:30 AM,0,0,0,0,0,0
5/25/2021,Tuesday,9:30 AM,1,0,0,0,0,1
5/25/2021,Tuesday,10:30 AM,0,0,0,0,1,1
5/25/2021,Tuesday,11:30 AM,0,0,0,0,0,0
5/25/2021,Tuesday,12:30 PM,0,0,0,0,0,0
5/25/2021,Tuesday,1:30 PM,1,0,0,0,0,1
5/25/2021,Tuesday,2:30 PM,0,0,0,0,0,0
5/25/2021,Tuesday,3:30 PM,2,0,0,0,0,2
5/25/2021,Tuesday,3:30 PM,0,0,0,1,0,1
5/25/2021,Tuesday,4:30 PM,3,0,0,0,0,3
5/25/2021,Tuesday,5:30 PM,3,0,0,0,0,3
5/26/2021,Wednesday,9:30 AM,0,0,0,0,0,0
5/26/2021,Wednesday,10:30 AM,2,0,0,0,0,2
5/26/2021,Wednesday,11:30 AM,2,0,0,0,0,2
5/26/2021,Wednesday,12:30 PM,2,0,0,0,0,2
5/26/2021,Wednesday,1:30 PM,2,0,0,0,0,2
5/26/2021,Wednesday,2:30 PM,3,0,0,0,0,3
5/26/2021,Wednesday,3:30 PM,2,0,0,0,0,2
